ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CATEGORY,SUBCATEGORY,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,PAYMENTFULLNAME,FLAG,WORTH,YEAR_BIRTH,name,age,city
10181.0,21.0,100.0,5.0,3286.08,11/12/2003,Shipped,Qui_4,11.0,2003.0,Classic Cars,142.0,S18_1984,Furniture,Bookshelf,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Unknown,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Medium,Oeztan Veysel,EXPENSIVE,GOOD,1977.0,,,
10178.0,34.0,96.86,8.0,3293.24,11/8/2003,Shipped,Qui_4,11.0,2003.0,Ships,90.0,S700_2047,Technology,Tablet,Alpha Cognac,61.77.6555,1 rue Alsace-Lorraine,Unknown,Toulouse,,31000,France,EMEA,Roulet,Annette,Medium,Roulet Annette,EXPENSIVE,GOOD,1986.0,,,
10177.0,50.0,100.0,7.0,6083.0,11/7/2003,Shipped,Qui_4,11.0,2003.0,Ships,122.0,S24_2011,Office Supplies,Pen,CAF Imports,+34 913 728 555,"Merchants House, 27-30 Merchant's Quay",Unknown,Madrid,,28023,Spain,EMEA,Fernandez,Jesus,Medium,Fernandez Jesus,EXPENSIVE,EXCELLENT,1960.0,,,
10259.0,27.0,100.0,8.0,3657.69,6/15/2004,Shipped,Qui_2,6.0,2004.0,Classic Cars,169.0,S18_3232,Furniture,Table,Handji Gifts& Co,+65 224 1555,Village Close - 106 Linden Road Sandown,2nd Floor,Singapore,,69045,Singapore,APAC,Victorino,Wendy,Medium,Victorino Wendy,EXPENSIVE,GOOD,1987.0,,,
10139.0,41.0,100.0,8.0,7956.46,7/16/2003,Shipped,Qui_3,7.0,2003.0,Vintage Cars,168.0,S18_2795,Furniture,Bookshelf,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Large,Huxley Adrian,EXPENSIVE,GOOD,1960.0,,,
10235.0,40.0,81.14,4.0,3245.6,4/2/2004,Shipped,Qui_2,4.0,2004.0,Planes,72.0,S24_4278,Office Supplies,Eraser,"Royal Canadian Collectables, Ltd.",(604) 555-4555,23 Tsawassen Blvd.,Unknown,Tsawassen,BC,T2F 8M4,Canada,,Lincoln,Elizabeth,Medium,Lincoln Elizabeth,EXPENSIVE,GOOD,2000.0,,,
10228.0,31.0,100.0,4.0,3181.53,3/10/2004,Shipped,Qui_1,3.0,2004.0,Vintage Cars,104.0,S18_3136,Furniture,Table,Cambridge Collectables Co.,6175555555,4658 Baden Av.,Unknown,Cambridge,MA,51247,USA,,Tseng,Kyung,Medium,Tseng Kyung,EXPENSIVE,GOOD,1979.0,,,
10310.0,42.0,67.14,16.0,2819.88,10/16/2004,Shipped,Qui_4,10.0,2004.0,Motorcycles,62.0,S18_3782,Furniture,Bookshelf,"Toms Spezialitten, Ltd",0221-5554327,Mehrheimerstr. 369,Unknown,Koln,,50739,Germany,EMEA,Pfalzheim,Henriette,Small,Pfalzheim Henriette,EXPENSIVE,GOOD,1983.0,,,
10111.0,28.0,64.33,2.0,1801.24,3/25/2003,Shipped,Qui_1,3.0,2003.0,Vintage Cars,62.0,S18_2957,Furniture,Desk,Mini Wheels Co.,6505555787,5557 North Pendale Street,Unknown,San Francisco,CA,,USA,,Murphy,Julie,Small,Murphy Julie,CHEAP,GOOD,1972.0,,,
10316.0,47.0,76.93,11.0,3615.71,11/1/2004,Shipped,Qui_4,11.0,2004.0,Vintage Cars,65.0,S24_3420,Office Supplies,Lamp,giftsbymail.co.uk,(198) 555-8888,Garden House Crowther Way,Unknown,Cowes,Isle of Wight,PO31 7PJ,UK,EMEA,Bennett,Helen,Medium,Bennett Helen,EXPENSIVE,GOOD,1992.0,,,
10412.0,31.0,100.0,1.0,4253.2,5/3/2005,Shipped,Qui_2,5.0,2005.0,Classic Cars,118.0,S24_4048,Office Supplies,Pencil,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Unknown,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium,Freyre Diego,EXPENSIVE,GOOD,1973.0,,,
10180.0,41.0,100.0,11.0,8892.9,11/11/2003,Shipped,Qui_4,11.0,2003.0,Motorcycles,193.0,S10_4698,Furniture,Bookshelf,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",Unknown,Lille,,59000,France,EMEA,Rance,Martine,Large,Rance Martine,EXPENSIVE,GOOD,1993.0,,,
10108.0,30.0,63.07,5.0,1892.1,3/3/2003,Shipped,Qui_1,3.0,2003.0,Classic Cars,61.0,S24_3371,Office Supplies,Eraser,Cruz & Sons Co.,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,Unknown,Makati City,,1227 MM,Philippines,Japan,Cruz,Arnold,Small,Cruz Arnold,CHEAP,GOOD,1996.0,,,
10273.0,22.0,100.0,11.0,2784.76,7/21/2004,Shipped,Qui_3,7.0,2004.0,Ships,122.0,S24_2011,Office Supplies,Pen,Petit Auto,(02) 5554 67,Rue Joseph-Bens 532,Unknown,Bruxelles,,B-1180,Belgium,EMEA,Dewey,Catherine,Small,Dewey Catherine,EXPENSIVE,GOOD,1990.0,,,
10374.0,42.0,69.27,2.0,2909.34,2/2/2005,Shipped,Qui_1,2.0,2005.0,Planes,84.0,S18_2581,Furniture,Bookshelf,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,Unknown,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Small,Calaghan Tony,EXPENSIVE,GOOD,1972.0,,,
10210.0,23.0,100.0,2.0,3009.09,1/12/2004,Shipped,Qui_1,1.0,2004.0,Motorcycles,118.0,S10_2016,Furniture,Chair,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Unknown,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium,Kentary Mory,EXPENSIVE,GOOD,1969.0,,,
10165.0,38.0,66.78,5.0,2537.64,10/22/2003,Shipped,Qui_4,10.0,2003.0,Trains,58.0,S50_1514,Accessories,Headphone,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Unknown,Singapore,,79903,Singapore,Japan,Natividad,Eric,Small,Natividad Eric,EXPENSIVE,GOOD,1999.0,,,
10167.0,24.0,100.0,13.0,2812.8,10/23/2003,Cancelled,Qui_4,10.0,2003.0,Ships,100.0,S700_3505,Technology,Laptop,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Unknown,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,Small,Larsson Maria,EXPENSIVE,GOOD,1976.0,,,
10227.0,24.0,48.38,5.0,1161.12,3/2/2004,Shipped,Qui_1,3.0,2004.0,Vintage Cars,44.0,S24_2022,Office Supplies,Lamp,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Unknown,Lyon,,69004,France,EMEA,Saveley,Mary,Small,Saveley Mary,CHEAP,GOOD,2000.0,,,
10296.0,21.0,71.25,8.0,1496.25,9/15/2004,Shipped,Qui_3,9.0,2004.0,Planes,68.0,S24_2841,Office Supplies,Pencil,"Bavarian Collectables Imports, Co.",+49 89 61 08 9555,Hansastr. 15,Unknown,Munich,,80686,Germany,EMEA,Donnermeyer,Michael,Small,Donnermeyer Michael,EXPENSIVE,GOOD,1965.0,,,
10355.0,38.0,39.83,10.0,1513.54,12/7/2004,Shipped,Qui_4,12.0,2004.0,Motorcycles,40.0,S32_2206,Office Supplies,Pen,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Unknown,Madrid,,28034,Spain,EMEA,Freyre,Diego,Small,Freyre Diego,CHEAP,GOOD,1994.0,,,
10288.0,50.0,52.32,13.0,2616.0,9/1/2004,Shipped,Qui_3,9.0,2004.0,Classic Cars,50.0,S24_1628,Office Supplies,Lamp,Handji Gifts& Co,+65 224 1555,Village Close - 106 Linden Road Sandown,2nd Floor,Singapore,,69045,Singapore,APAC,Victorino,Wendy,Small,Victorino Wendy,CHEAP,EXCELLENT,1984.0,,,
10292.0,50.0,46.53,10.0,2326.5,9/8/2004,Shipped,Qui_3,9.0,2004.0,Trucks and Buses,54.0,S32_2509,Office Supplies,Pen,Land of Toys Inc.,2125557818,897 Long Airport Avenue,Unknown,NYC,NY,10022,USA,,Yu,Kwai,Small,Yu Kwai,CHEAP,EXCELLENT,1971.0,,,
10416.0,32.0,87.6,1.0,2803.2,5/10/2005,Shipped,Qui_2,5.0,2005.0,Motorcycles,76.0,S24_2000,Office Supplies,Pen,L'ordine Souveniers,0522-556555,Strada Provinciale 124,Unknown,Reggio Emilia,,42100,Italy,EMEA,Moroni,Maurizio,Small,Moroni Maurizio,EXPENSIVE,GOOD,1993.0,,,
10403.0,27.0,79.65,4.0,2150.55,4/8/2005,Shipped,Qui_2,4.0,2005.0,Motorcycles,69.0,S24_2360,Office Supplies,Eraser,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,Unknown,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,Small,Devon Elizabeth,EXPENSIVE,GOOD,1982.0,,,
10386.0,50.0,87.15,16.0,4357.5,3/1/2005,Resolved,Qui_1,3.0,2005.0,Planes,49.0,S72_1253,Accessories,Keyboard,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Unknown,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium,Freyre Diego,EXPENSIVE,EXCELLENT,1988.0,,,
10248.0,30.0,100.0,5.0,3053.7,5/7/2004,Cancelled,Qui_2,5.0,2004.0,Vintage Cars,88.0,S24_3151,Office Supplies,Pencil,Land of Toys Inc.,2125557818,897 Long Airport Avenue,Unknown,NYC,NY,10022,USA,,Yu,Kwai,Medium,Yu Kwai,EXPENSIVE,GOOD,1993.0,,,
10137.0,31.0,100.0,4.0,5124.3,7/10/2003,Shipped,Qui_3,7.0,2003.0,Classic Cars,141.0,S18_3685,Furniture,Bookshelf,Reims Collectables,26.47.1555,59 rue de l'Abbaye,Unknown,Reims,,51100,France,EMEA,Henriot,Paul,Medium,Henriot Paul,EXPENSIVE,GOOD,1994.0,,,
10175.0,42.0,85.98,11.0,3611.16,11/6/2003,Shipped,Qui_4,11.0,2003.0,Classic Cars,101.0,S700_2824,Technology,Desktop,"Stylish Desk Decors, Co.",(171) 555-0297,35 King George,Unknown,London,,WX3 6FW,UK,EMEA,Brown,Ann,Medium,Brown Ann,EXPENSIVE,GOOD,1966.0,,,
10235.0,33.0,60.05,12.0,1981.65,4/2/2004,Shipped,Qui_2,4.0,2004.0,Planes,68.0,S24_3949,Office Supplies,Pencil,"Royal Canadian Collectables, Ltd.",(604) 555-4555,23 Tsawassen Blvd.,Unknown,Tsawassen,BC,T2F 8M4,Canada,,Lincoln,Elizabeth,Small,Lincoln Elizabeth,CHEAP,GOOD,1964.0,,,
